rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Missing Security Headers,MEDIUM,Site-Wide Security,Medium,2-5 days,6,10,yes,trust,"Six standard security headers are absent, weakening protection against XSS, clickjacking, and downgrade attacks.","Six standard security headers are absent, weakening protection against XSS, clickjacking, and downgrade attacks.",notes: Add the missing headers at the CDN or web-server layer; HSTS and X-Content-Type-Options are one-line changes.,"Measured on the live origin: missing HSTS, CSP, X-Content-Type-Options, X-Frame-Options, Referrer-Policy, Permissions-Policy.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_1_missing_security_headers.html
2,Single-Step External Funnel,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,"The homepage offers only one CTA that exits to an external domain, creating a shallow funnel with no internal next step.","The homepage offers only one CTA that exits to an external domain, creating a shallow funnel with no internal next step.","h1: Example Domain; cta: Primary: [Benefit-oriented CTA] Secondary: Learn more; notes: Add an internal conversion-oriented CTA (e.g., Sign up, Request demo) and keep Learn more as secondary.",The only call to action on the page is “Learn more”. | [Learn more](https://iana.org/domains/example),Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_2_single_step_funnel_with_external_exit.html
3,Missing Value Proposition,HIGH,Homepage,Low,0.5-2 days,5,10,no,conversion,The hero copy is generic placeholder text that fails to communicate what is offered or why it is better.,The hero copy is generic placeholder text that fails to communicate what is offered or why it is better.,h1: Example Domain; cta: Learn more; notes: Replace placeholder with clear statement of offering and key benefit.,This domain is for use in documentation examples without needing permission. | Avoid use in operations.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_3_no_value_proposition_stated.html
4,H1 Lacks Product Clarity,HIGH,Homepage,Medium,2-5 days,5,10,no,conversion,The h1 only names the domain and does not orient visitors on what is sold or why it is better.,The h1 only names the domain and does not orient visitors on what is sold or why it is better.,h1: [Product/Service] - [Key Benefit]; cta: Learn more; notes: Rewrite h1 to describe offering and value proposition.,The page's main headline reads “Example Domain”.,Message Clarity,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_headline_lacks_product_clarity.html
5,CTA Disconnected Offering,MEDIUM,Homepage,Medium,2-5 days,5,10,no,conversion,"The only CTA links to a documentation site and does not reference any product or value, leaving the visitor without a clear next step.","The only CTA links to a documentation site and does not reference any product or value, leaving the visitor without a clear next step.",h1: Example Domain; cta: [Benefit-oriented CTA]; notes: Replace generic Learn more with benefit-oriented CTA that names the offering and value.,The only call to action on the page is “Learn more”. | [Learn more](https://iana.org/domains/example),Message Clarity,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_cta_disconnected_from_offering.html
6,Weak Page Metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded due to missing or improperly sized page title, meta description, and Open Graph tags.","Search and social previews are degraded due to missing or improperly sized page title, meta description, and Open Graph tags.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 0 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_weak_page_metadata.html
7,Missing trust signals above the fold,HIGH,Trust & Proof,Medium,2-5 days,5,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, reviews, security badge, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, reviews, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_missing_trust_signals_above_the_fold.html
8,No Responsive Viewport,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Mobile browsers render the desktop layout scaled down, making tap targets too small due to a missing viewport meta tag.","Mobile browsers render the desktop layout scaled down, making tap targets too small due to a missing viewport meta tag.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_8_no_responsive_viewport_declared.html
9,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","Without a viewport meta tag mobile browsers render the desktop layout scaled down, making every tap target too small.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_9_no_responsive_viewport_declared.html
10,Missing Trust Signals,HIGH,Trust & Proof,Medium,2-5 days,4,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, reviews, or security badges, failing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, reviews, or security badges, failing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, reviews, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_10_missing_trust_signals_above_the_fold.html
